Pattern,ItemIDs,Utility,Size
O_LATITUDE=VeryHigh + CRS_ARR_TIME_MIN=High + D_TEMP=VeryHigh + O_LONGITUDE=VeryHigh,"[1287, 1246, 1272, 1292]",20260,4
OP_CARRIER=9E + CRS_ELAPSED_TIME=High + O_LONGITUDE=VeryHigh,"[1, 1251, 1292]",20257,3
OP_CARRIER=9E + O_WSPD=High + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1, 1266, 1286, 1292]",20257,4
CRS_ARR_TIME_MIN=VeryLow + CRS_ELAPSED_TIME=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh + O_LONGITUDE=VeryHigh,"[1243, 1252, 1242, 1292]",20250,4
ORIGIN_INDEX=LGA + OP_CARRIER=DL + O_TEMP=VeryLow + CRS_ARR_TIME_MIN=VeryHigh + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1020, 5, 1253, 1247, 1286, 1292]",20250,6
CRS_ARR_TIME_MIN=Mid + D_TEMP=VeryHigh + CRS_ELAPSED_TIME=VeryHigh + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1245, 1272, 1252, 1286, 1292]",20249,5
FL_WEEK=1 + CRS_DEP_TIME_MIN=High + CRS_ARR_TIME_MIN=High + D_TEMP=VeryHigh,"[932, 1241, 1246, 1272]",20248,4
OP_CARRIER=9E + O_WSPD=VeryHigh + CRS_ARR_TIME_MIN=VeryHigh + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1, 1267, 1247, 1286, 1292]",20243,5
ORIGIN_INDEX=LGA + CRS_ARR_TIME_MIN=Mid + D_TEMP=VeryHigh + O_LONGITUDE=VeryHigh,"[1020, 1245, 1272, 1292]",20241,4
O_LONGITUDE=High + OP_CARRIER=DL + D_LONGITUDE=VeryHigh + CRS_ELAPSED_TIME=High + CRS_ARR_TIME_MIN=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh,"[1291, 5, 1302, 1251, 1247, 1242]",20236,6
D_LONGITUDE=VeryHigh + CRS_ARR_TIME_MIN=High + D_LATITUDE=High + D_TEMP=VeryHigh,"[1302, 1246, 1296, 1272]",20233,4
FL_WEEK=1 + D_WSPD=VeryHigh + CRS_ARR_TIME_MIN=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh,"[932, 1282, 1247, 1242]",20218,4
O_PRCP=VeryLow + D_WSPD=VeryHigh + O_TEMP=VeryLow + CRS_DEP_TIME_MIN=VeryHigh + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1258, 1282, 1253, 1242, 1286, 1292]",20211,6
O_TEMP=VeryHigh + D_TEMP=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh + O_LONGITUDE=VeryHigh,"[1257, 1272, 1242, 1292]",20207,4
D_TEMP=VeryHigh + O_WSPD=VeryHigh + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1272, 1267, 1286, 1292]",20206,4
ORIGIN_INDEX=LGA + OP_CARRIER=DL + CRS_DEP_TIME_MIN=High + CRS_ARR_TIME_MIN=High + CRS_ELAPSED_TIME=High + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1020, 5, 1241, 1246, 1251, 1286, 1292]",20205,7
ORIGIN_INDEX=LGA + O_TEMP=VeryLow + D_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1020, 1253, 1296, 1292]",20189,4
D_TEMP=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1272, 1242, 1286, 1292]",20185,4
ORIGIN_INDEX=JFK + OP_CARRIER=B6 + O_WSPD=High + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1014, 4, 1266, 1286, 1292]",20178,5
OP_CARRIER=DL + CRS_DEP_TIME_MIN=High + O_LATITUDE=High,"[5, 1241, 1286]",20177,3
O_PRCP=VeryLow + O_WSPD=VeryHigh + O_LATITUDE=High,"[1258, 1267, 1286]",20168,3
O_TEMP=VeryHigh + CRS_ARR_TIME_MIN=High + CRS_ELAPSED_TIME=High,"[1257, 1246, 1251]",20167,3
OP_CARRIER=DL + CRS_ARR_TIME_MIN=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh + O_LATITUDE=High,"[5, 1247, 1242, 1286]",20162,4
ORIGIN_INDEX=JFK + D_TEMP=High + D_WSPD=VeryHigh + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1014, 1271, 1282, 1286, 1292]",20160,5
O_PRCP=VeryLow + CRS_DEP_TIME_MIN=High + CRS_ARR_TIME_MIN=High,"[1258, 1241, 1246]",20152,3
ORIGIN_INDEX=EWR + CRS_DEP_TIME_MIN=High + CRS_ELAPSED_TIME=VeryHigh + O_LONGITUDE=VeryHigh,"[988, 1241, 1252, 1292]",20149,4
D_LONGITUDE=VeryLow + O_LATITUDE=VeryHigh + CRS_ELAPSED_TIME=VeryHigh + O_LONGITUDE=VeryHigh,"[1298, 1287, 1252, 1292]",20148,4
O_TEMP=VeryHigh + CRS_ELAPSED_TIME=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh + O_LONGITUDE=VeryHigh,"[1257, 1252, 1242, 1292]",20141,4
FL_DAY=19 + CRS_ARR_TIME_MIN=High + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[919, 1246, 1286, 1292]",20136,4
O_PRCP=VeryLow + O_WSPD=High + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1258, 1266, 1286, 1292]",20119,4
FL_WEEK=3 + CRS_ELAPSED_TIME=Mid + O_LONGITUDE=VeryHigh,"[934, 1250, 1292]",20118,3
O_TEMP=VeryLow + CRS_ARR_TIME_MIN=High + O_WSPD=VeryHigh,"[1253, 1246, 1267]",20115,3
O_PRCP=VeryLow + D_WSPD=VeryHigh + CRS_ARR_TIME_MIN=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1258, 1282, 1247, 1242, 1286, 1292]",20112,6
FL_WEEK=1 + O_TEMP=VeryLow,"[932, 1253]",20110,2
ORIGIN_INDEX=MCO + CRS_ELAPSED_TIME=High + O_WSPD=VeryHigh + CRS_ARR_TIME_MIN=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh,"[1027, 1251, 1267, 1247, 1242]",20108,5
O_PRCP=VeryLow + CRS_ELAPSED_TIME=High,"[1258, 1251]",20095,2
CRS_ELAPSED_TIME=Mid + O_WSPD=High + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1250, 1266, 1286, 1292]",20085,4
DEST_INDEX=CLT + O_TEMP=VeryLow + CRS_ELAPSED_TIME=High + O_LONGITUDE=VeryHigh,"[1120, 1253, 1251, 1292]",20083,4
O_TEMP=VeryLow + CRS_ELAPSED_TIME=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh + O_LONGITUDE=VeryHigh,"[1253, 1252, 1242, 1292]",20078,4
D_LATITUDE=VeryHigh + O_TEMP=VeryLow + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1297, 1253, 1286, 1292]",20069,4
ORIGIN_INDEX=JFK + CRS_ELAPSED_TIME=VeryHigh + O_WSPD=VeryHigh + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1014, 1252, 1267, 1286, 1292]",20068,5
ORIGIN_INDEX=MCO + CRS_ARR_TIME_MIN=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh,"[1027, 1247, 1242]",20065,3
OP_CARRIER=DL + O_WSPD=VeryHigh + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[5, 1267, 1286, 1292]",20060,4
OP_CARRIER=9E + O_LATITUDE=VeryHigh + O_TEMP=VeryLow,"[1, 1287, 1253]",20057,3
ORIGIN_INDEX=DFW + O_WSPD=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh,"[982, 1267, 1242]",20042,3
D_LONGITUDE=VeryHigh + CRS_ELAPSED_TIME=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh,"[1302, 1252, 1242]",20041,3
O_LONGITUDE=High + CRS_ARR_TIME_MIN=VeryHigh,"[1291, 1247]",20037,2
OP_CARRIER=9E + D_WSPD=VeryHigh + O_LONGITUDE=VeryHigh,"[1, 1282, 1292]",20032,3
O_TEMP=Low + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1254, 1286, 1292]",20028,3
O_LONGITUDE=High + OP_CARRIER=DL + D_LONGITUDE=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh,"[1291, 5, 1302, 1242]",20027,4
O_LATITUDE=VeryHigh + D_LONGITUDE=VeryHigh + D_TEMP=VeryHigh,"[1287, 1302, 1272]",20027,3
ORIGIN_INDEX=JFK + OP_CARRIER=B6 + D_LONGITUDE=VeryHigh + O_LONGITUDE=VeryHigh,"[1014, 4, 1302, 1292]",20025,4
O_WSPD=High + D_TEMP=VeryHigh,"[1266, 1272]",20019,2
ORIGIN_INDEX=LGA + OP_CARRIER=9E + O_LATITUDE=High,"[1020, 1, 1286]",20011,3
D_WSPD=VeryHigh + O_WSPD=VeryHigh + O_LATITUDE=High,"[1282, 1267, 1286]",20007,3
CRS_ARR_TIME_MIN=VeryLow + OP_CARRIER=AA + CRS_ELAPSED_TIME=VeryHigh,"[1243, 2, 1252]",20000,3
O_WSPD=High + O_LATITUDE=VeryHigh + D_TEMP=VeryHigh + O_LONGITUDE=VeryHigh,"[1266, 1287, 1272, 1292]",19992,4
CRS_ARR_TIME_MIN=Mid + FL_WEEK=1 + O_TEMP=VeryLow + CRS_ELAPSED_TIME=VeryHigh + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1245, 932, 1253, 1252, 1286, 1292]",19974,6
ORIGIN_INDEX=EWR + OP_CARRIER=DL + O_LONGITUDE=VeryHigh,"[988, 5, 1292]",19972,3
OP_CARRIER=AA + O_WSPD=High + O_LATITUDE=VeryHigh + O_TEMP=VeryLow + O_LONGITUDE=VeryHigh,"[2, 1266, 1287, 1253, 1292]",19970,5
FL_WEEK=2 + CRS_ELAPSED_TIME=High + CRS_ARR_TIME_MIN=VeryHigh + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[933, 1251, 1247, 1286, 1292]",19963,5
FL_WEEK=2 + CRS_ARR_TIME_MIN=VeryHigh + O_LATITUDE=High,"[933, 1247, 1286]",19959,3
D_LATITUDE=Mid + D_WSPD=VeryHigh + CRS_ARR_TIME_MIN=VeryHigh + O_LONGITUDE=VeryHigh,"[1295, 1282, 1247, 1292]",19951,4
FL_WEEK=2 + O_WSPD=VeryHigh + O_LONGITUDE=VeryHigh,"[933, 1267, 1292]",19941,3
OP_CARRIER=B6 + D_LONGITUDE=VeryHigh + O_WSPD=VeryHigh,"[4, 1302, 1267]",19941,3
OP_CARRIER=DL + CRS_DEP_TIME_MIN=High + CRS_ELAPSED_TIME=VeryHigh + O_LONGITUDE=VeryHigh,"[5, 1241, 1252, 1292]",19941,4
D_WSPD=VeryHigh + O_TEMP=VeryLow + O_WSPD=VeryHigh + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1282, 1253, 1267, 1286, 1292]",19929,5
DEST_INDEX=CLT + OP_CARRIER=AA + O_WSPD=High + O_LATITUDE=VeryHigh + CRS_ELAPSED_TIME=High + O_LONGITUDE=VeryHigh,"[1120, 2, 1266, 1287, 1251, 1292]",19927,6
OP_CARRIER=DL + CRS_ELAPSED_TIME=VeryHigh + CRS_ARR_TIME_MIN=VeryHigh + O_LATITUDE=High,"[5, 1252, 1247, 1286]",19916,4
O_PRCP=VeryLow + OP_CARRIER=AA + D_LONGITUDE=VeryHigh,"[1258, 2, 1302]",19916,3
D_LONGITUDE=VeryLow + CRS_ELAPSED_TIME=VeryHigh + O_WSPD=VeryHigh + CRS_ARR_TIME_MIN=VeryHigh + O_LONGITUDE=VeryHigh,"[1298, 1252, 1267, 1247, 1292]",19913,5
ORIGIN_INDEX=LGA + O_PRCP=VeryLow + D_WSPD=VeryHigh + O_TEMP=VeryLow + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1020, 1258, 1282, 1253, 1286, 1292]",19908,6
CRS_ARR_TIME_MIN=Mid + O_TEMP=VeryLow + CRS_ELAPSED_TIME=VeryHigh + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1245, 1253, 1252, 1286, 1292]",19904,5
FL_WEEK=2 + D_LONGITUDE=VeryHigh + CRS_ARR_TIME_MIN=VeryHigh + O_LONGITUDE=VeryHigh,"[933, 1302, 1247, 1292]",19896,4
CRS_ELAPSED_TIME=Mid + CRS_ARR_TIME_MIN=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1250, 1247, 1242, 1286, 1292]",19892,5
ORIGIN_INDEX=EWR + O_WSPD=High + CRS_DEP_TIME_MIN=High + CRS_ARR_TIME_MIN=VeryHigh + O_LONGITUDE=VeryHigh,"[988, 1266, 1241, 1247, 1292]",19882,5
FL_WEEK=2 + O_LATITUDE=High,"[933, 1286]",19880,2
OP_CARRIER=DL + D_LONGITUDE=VeryHigh + CRS_ELAPSED_TIME=High + CRS_DEP_TIME_MIN=VeryHigh,"[5, 1302, 1251, 1242]",19873,4
DEST_INDEX=DTW + ORIGIN_INDEX=EWR + FL_WEEK=3 + CRS_ELAPSED_TIME=Mid + OP_CARRIER=DL + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1130, 988, 934, 1250, 5, 1286, 1292]",19869,7
DEST_INDEX=DTW + ORIGIN_INDEX=EWR + CRS_ELAPSED_TIME=Mid + OP_CARRIER=DL + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1130, 988, 1250, 5, 1286, 1292]",19845,6
ORIGIN_INDEX=LGA + D_WSPD=VeryHigh + CRS_ELAPSED_TIME=VeryHigh + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1020, 1282, 1252, 1286, 1292]",19833,5
ORIGIN_INDEX=MCO + D_LONGITUDE=VeryHigh + CRS_ELAPSED_TIME=High + CRS_DEP_TIME_MIN=VeryHigh,"[1027, 1302, 1251, 1242]",19828,4
OP_CARRIER=B6 + CRS_DEP_TIME_MIN=High + CRS_ELAPSED_TIME=VeryHigh + O_LONGITUDE=VeryHigh,"[4, 1241, 1252, 1292]",19828,4
ORIGIN_INDEX=EWR + CRS_ARR_TIME_MIN=High + CRS_ELAPSED_TIME=High + O_LATITUDE=High,"[988, 1246, 1251, 1286]",19822,4
O_TEMP=VeryLow + O_WSPD=VeryHigh + CRS_ARR_TIME_MIN=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh,"[1253, 1267, 1247, 1242]",19821,4
OP_CARRIER=9E + FL_WEEK=2 + D_LONGITUDE=VeryHigh,"[1, 933, 1302]",19814,3
O_PRCP=VeryLow + O_LATITUDE=VeryHigh + O_LONGITUDE=VeryHigh,"[1258, 1287, 1292]",19810,3
D_LONGITUDE=VeryHigh + D_TEMP=VeryHigh + CRS_ELAPSED_TIME=VeryHigh,"[1302, 1272, 1252]",19807,3
ORIGIN_INDEX=JFK + D_TEMP=High + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1014, 1271, 1286, 1292]",19803,4
OP_CARRIER=9E + FL_WEEK=2 + O_WSPD=VeryHigh + CRS_ARR_TIME_MIN=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh + O_LONGITUDE=VeryHigh,"[1, 933, 1267, 1247, 1242, 1292]",19793,6
OP_CARRIER=AA + O_LATITUDE=VeryHigh + O_TEMP=VeryLow + O_LONGITUDE=VeryHigh,"[2, 1287, 1253, 1292]",19792,4
OP_CARRIER=DL + CRS_ELAPSED_TIME=VeryHigh + O_WSPD=VeryHigh + O_LONGITUDE=VeryHigh,"[5, 1252, 1267, 1292]",19774,4
OP_CARRIER=9E + O_WSPD=VeryHigh + CRS_ARR_TIME_MIN=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh + O_LONGITUDE=VeryHigh,"[1, 1267, 1247, 1242, 1292]",19773,5
O_LATITUDE=VeryHigh + D_LONGITUDE=VeryHigh + CRS_ARR_TIME_MIN=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh,"[1287, 1302, 1247, 1242]",19767,4
D_LATITUDE=High + D_TEMP=VeryHigh + CRS_ELAPSED_TIME=VeryHigh + O_LONGITUDE=VeryHigh,"[1296, 1272, 1252, 1292]",19766,4
O_WSPD=High + CRS_DEP_TIME_MIN=High + CRS_ELAPSED_TIME=VeryHigh + CRS_ARR_TIME_MIN=VeryHigh + O_LONGITUDE=VeryHigh,"[1266, 1241, 1252, 1247, 1292]",19765,5
OP_CARRIER=DL + D_WSPD=VeryHigh + O_TEMP=VeryLow + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[5, 1282, 1253, 1286, 1292]",19759,5
CRS_ELAPSED_TIME=High + O_WSPD=VeryHigh + CRS_ARR_TIME_MIN=VeryHigh,"[1251, 1267, 1247]",19757,3
O_WSPD=High + CRS_ARR_TIME_MIN=VeryHigh,"[1266, 1247]",19752,2
DEST_INDEX=CLT + OP_CARRIER=AA + O_LATITUDE=VeryHigh + CRS_ELAPSED_TIME=High + O_LONGITUDE=VeryHigh,"[1120, 2, 1287, 1251, 1292]",19749,5
D_PRCP=VeryLow + D_LATITUDE=High,"[1273, 1296]",19747,2
DEST_INDEX=EWR + D_LATITUDE=High,"[1136, 1296]",19739,2
DEST_INDEX=DTW + CRS_ELAPSED_TIME=Mid + O_LONGITUDE=VeryHigh,"[1130, 1250, 1292]",19736,3
O_WSPD=High + CRS_DEP_TIME_MIN=VeryHigh + O_LATITUDE=High,"[1266, 1242, 1286]",19733,3
ORIGIN_INDEX=EWR + CRS_DEP_TIME_MIN=High + CRS_ARR_TIME_MIN=High + D_LATITUDE=High + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[988, 1241, 1246, 1296, 1286, 1292]",19733,6
O_TEMP=VeryLow + D_LATITUDE=High + CRS_DEP_TIME_MIN=VeryHigh,"[1253, 1296, 1242]",19730,3
FL_DAY=19 + CRS_DEP_TIME_MIN=High + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[919, 1241, 1286, 1292]",19715,4
CRS_DEP_TIME_MIN=High + CRS_ARR_TIME_MIN=High + CRS_ELAPSED_TIME=High + O_WSPD=VeryHigh + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1241, 1246, 1251, 1267, 1286, 1292]",19708,6
D_LATITUDE=VeryHigh + CRS_ARR_TIME_MIN=High + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1297, 1246, 1286, 1292]",19702,4
O_PRCP=VeryLow + D_WSPD=VeryHigh + O_WSPD=VeryHigh + O_LATITUDE=High,"[1258, 1282, 1267, 1286]",19700,4
FL_WEEK=3 + D_TEMP=VeryHigh + O_LONGITUDE=VeryHigh,"[934, 1272, 1292]",19699,3
ORIGIN_INDEX=MCO + O_LONGITUDE=High + O_TEMP=VeryHigh + D_LONGITUDE=VeryHigh + D_LATITUDE=High + CRS_ELAPSED_TIME=High + O_WSPD=VeryHigh + CRS_ARR_TIME_MIN=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh,"[1027, 1291, 1257, 1302, 1296, 1251, 1267, 1247, 1242]",19696,9
O_WSPD=High + CRS_ELAPSED_TIME=High + CRS_DEP_TIME_MIN=VeryHigh + O_LONGITUDE=VeryHigh,"[1266, 1251, 1242, 1292]",19695,4
FL_WEEK=1 + O_TEMP=VeryLow + CRS_ELAPSED_TIME=VeryHigh + O_LONGITUDE=VeryHigh,"[932, 1253, 1252, 1292]",19691,4
OP_CARRIER=AA + O_TEMP=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[2, 1257, 1242, 1286, 1292]",19685,5
OP_CARRIER=9E + CRS_ELAPSED_TIME=Mid + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1, 1250, 1286, 1292]",19685,4
D_LONGITUDE=VeryHigh + D_LATITUDE=High + O_WSPD=VeryHigh + CRS_ARR_TIME_MIN=VeryHigh,"[1302, 1296, 1267, 1247]",19651,4
ORIGIN_INDEX=EWR + CRS_DEP_TIME_MIN=High + CRS_ARR_TIME_MIN=VeryHigh + O_LONGITUDE=VeryHigh,"[988, 1241, 1247, 1292]",19650,4
O_TEMP=VeryLow + CRS_ELAPSED_TIME=High + CRS_ARR_TIME_MIN=VeryHigh + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1253, 1251, 1247, 1286, 1292]",19644,5
D_LONGITUDE=VeryHigh + CRS_DEP_TIME_MIN=High + CRS_ARR_TIME_MIN=High + CRS_ELAPSED_TIME=High + O_WSPD=VeryHigh,"[1302, 1241, 1246, 1251, 1267]",19642,5
O_PRCP=VeryLow + FL_WEEK=1 + D_WSPD=VeryHigh + CRS_ARR_TIME_MIN=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh,"[1258, 932, 1282, 1247, 1242]",19640,5
CRS_DEP_TIME_MIN=High + CRS_ARR_TIME_MIN=High + D_LATITUDE=High + O_WSPD=VeryHigh + O_LONGITUDE=VeryHigh,"[1241, 1246, 1296, 1267, 1292]",19640,5
O_PRCP=VeryLow + O_TEMP=VeryLow + CRS_ELAPSED_TIME=VeryHigh + O_LONGITUDE=VeryHigh,"[1258, 1253, 1252, 1292]",19638,4
FL_WEEK=1 + CRS_ELAPSED_TIME=High + D_TEMP=VeryHigh,"[932, 1251, 1272]",19636,3
OP_CARRIER=DL + D_LONGITUDE=VeryHigh + CRS_ELAPSED_TIME=High + O_WSPD=VeryHigh + CRS_ARR_TIME_MIN=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh,"[5, 1302, 1251, 1267, 1247, 1242]",19632,6
OP_CARRIER=DL + O_WSPD=High + CRS_ELAPSED_TIME=VeryHigh + O_LONGITUDE=VeryHigh,"[5, 1266, 1252, 1292]",19632,4
O_TEMP=VeryHigh + CRS_ARR_TIME_MIN=High + D_TEMP=VeryHigh + CRS_ELAPSED_TIME=VeryHigh + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1257, 1246, 1272, 1252, 1286, 1292]",19628,6
ORIGIN_INDEX=JFK + OP_CARRIER=AA + O_LONGITUDE=VeryHigh,"[1014, 2, 1292]",19626,3
O_LATITUDE=VeryHigh + O_WSPD=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh,"[1287, 1267, 1242]",19626,3
FL_WEEK=2 + O_WSPD=High + CRS_ELAPSED_TIME=High + O_LONGITUDE=VeryHigh,"[933, 1266, 1251, 1292]",19622,4
ORIGIN_INDEX=JFK + OP_CARRIER=B6 + O_PRCP=VeryLow + O_LONGITUDE=VeryHigh,"[1014, 4, 1258, 1292]",19621,4
FL_WEEK=1 + O_WSPD=VeryHigh + CRS_ARR_TIME_MIN=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh,"[932, 1267, 1247, 1242]",19620,4
OP_CARRIER=AA + O_LATITUDE=VeryHigh + O_TEMP=VeryLow + CRS_ELAPSED_TIME=High,"[2, 1287, 1253, 1251]",19609,4
OP_CARRIER=DL + O_TEMP=VeryLow + CRS_ELAPSED_TIME=VeryHigh + CRS_ARR_TIME_MIN=VeryHigh + O_LONGITUDE=VeryHigh,"[5, 1253, 1252, 1247, 1292]",19598,5
ORIGIN_INDEX=JFK + OP_CARRIER=9E + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1014, 1, 1286, 1292]",19597,4
DEST_INDEX=BOS + OP_CARRIER=B6 + D_LATITUDE=VeryHigh + D_LONGITUDE=VeryHigh + CRS_DEP_TIME_MIN=High + CRS_ARR_TIME_MIN=High + O_LONGITUDE=VeryHigh,"[1108, 4, 1297, 1302, 1241, 1246, 1292]",19589,7
O_WSPD=High + O_TEMP=VeryLow,"[1266, 1253]",19586,2
DEST_INDEX=LAX + OP_CARRIER=B6 + CRS_ELAPSED_TIME=VeryHigh + O_LONGITUDE=VeryHigh,"[1167, 4, 1252, 1292]",19585,4
D_WSPD=Low + O_LATITUDE=VeryHigh + O_TEMP=VeryLow + O_LONGITUDE=VeryHigh,"[1279, 1287, 1253, 1292]",19583,4
OP_CARRIER=DL + O_TEMP=VeryLow + O_WSPD=VeryHigh + O_LONGITUDE=VeryHigh,"[5, 1253, 1267, 1292]",19578,4
ORIGIN_INDEX=EWR + O_WSPD=High + CRS_DEP_TIME_MIN=High + CRS_ARR_TIME_MIN=High + CRS_ELAPSED_TIME=High + D_TEMP=VeryHigh + O_LONGITUDE=VeryHigh,"[988, 1266, 1241, 1246, 1251, 1272, 1292]",19578,7
OP_CARRIER=B6 + CRS_ELAPSED_TIME=Mid + D_TEMP=VeryHigh + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[4, 1250, 1272, 1286, 1292]",19575,5
ORIGIN_INDEX=JFK + D_WSPD=VeryHigh + CRS_ELAPSED_TIME=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh + O_LONGITUDE=VeryHigh,"[1014, 1282, 1252, 1242, 1292]",19572,5
FL_WEEK=3 + CRS_ELAPSED_TIME=Mid + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[934, 1250, 1286, 1292]",19565,4
CRS_ELAPSED_TIME=VeryHigh + CRS_ARR_TIME_MIN=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh + O_LATITUDE=High,"[1252, 1247, 1242, 1286]",19560,4
FL_WEEK=1 + O_WSPD=VeryHigh + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[932, 1267, 1286, 1292]",19548,4
DEST_INDEX=FLL + CRS_ELAPSED_TIME=High + O_LONGITUDE=VeryHigh,"[1144, 1251, 1292]",19540,3
ORIGIN_INDEX=JFK + OP_CARRIER=DL + CRS_ARR_TIME_MIN=VeryHigh + O_LONGITUDE=VeryHigh,"[1014, 5, 1247, 1292]",19537,4
DEST_INDEX=BOS + OP_CARRIER=B6 + D_LONGITUDE=VeryHigh + CRS_DEP_TIME_MIN=High + CRS_ARR_TIME_MIN=High + O_LONGITUDE=VeryHigh,"[1108, 4, 1302, 1241, 1246, 1292]",19531,6
ORIGIN_INDEX=JFK + D_WSPD=VeryHigh + O_WSPD=VeryHigh + O_LONGITUDE=VeryHigh,"[1014, 1282, 1267, 1292]",19530,4
OP_CARRIER=B6 + D_LATITUDE=VeryHigh + D_LONGITUDE=VeryHigh + CRS_DEP_TIME_MIN=High + CRS_ARR_TIME_MIN=High + O_LONGITUDE=VeryHigh,"[4, 1297, 1302, 1241, 1246, 1292]",19519,6
OP_CARRIER=F9 + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[6, 1286, 1292]",19513,3
OP_CARRIER=F9 + CRS_ELAPSED_TIME=VeryHigh + O_LONGITUDE=VeryHigh,"[6, 1252, 1292]",19504,3
O_PRCP=VeryLow + O_WSPD=VeryHigh + CRS_ARR_TIME_MIN=VeryHigh,"[1258, 1267, 1247]",19501,3
ORIGIN_INDEX=EWR + CRS_ARR_TIME_MIN=VeryHigh + O_LATITUDE=High,"[988, 1247, 1286]",19500,3
O_TEMP=VeryHigh + D_LONGITUDE=VeryHigh + D_TEMP=VeryHigh,"[1257, 1302, 1272]",19500,3
O_LATITUDE=VeryHigh + O_TEMP=VeryLow + CRS_DEP_TIME_MIN=High + CRS_ELAPSED_TIME=VeryHigh + O_WSPD=VeryHigh + CRS_ARR_TIME_MIN=VeryHigh + O_LONGITUDE=VeryHigh,"[1287, 1253, 1241, 1252, 1267, 1247, 1292]",19487,7
O_LATITUDE=VeryHigh + D_TEMP=VeryHigh + CRS_ARR_TIME_MIN=VeryHigh + O_LONGITUDE=VeryHigh,"[1287, 1272, 1247, 1292]",19486,4
DEST_INDEX=LGA + D_LONGITUDE=VeryHigh + O_LONGITUDE=VeryHigh,"[1170, 1302, 1292]",19480,3
