Pattern,ItemIDs,Utility,Size
DEST_INDEX=ROA + CRS_DEP_TIME_MIN=High + FL_DAY=28 + OP_CARRIER=YX + D_LONGITUDE=VeryHigh + FL_WEEK=5 + O_WSPD=Low + CRS_ELAPSED_TIME=Low + O_TEMP=High + D_WSPD=Mid + O_PRCP=VeryLow,"[1209, 1241, 928, 15, 1302, 936, 1264, 1249, 1256, 1280, 1258]",7596,11
O_LATITUDE=VeryLow + D_LATITUDE=Low + OP_CARRIER=WN + O_LONGITUDE=Low + O_PRCP=VeryLow + D_PRCP=VeryLow,"[1283, 1294, 14, 1289, 1258, 1273]",7596,6
O_LONGITUDE=VeryLow + CRS_DEP_TIME_MIN=Mid + D_TEMP=Low,"[1288, 1240, 1269]",7596,3
O_LONGITUDE=VeryLow + CRS_ELAPSED_TIME=VeryLow + O_LATITUDE=VeryLow + CRS_DEP_TIME_MIN=Low + O_TEMP=High + D_PRCP=VeryLow,"[1288, 1248, 1283, 1239, 1256, 1273]",7596,6
OP_CARRIER=HA + D_LONGITUDE=VeryLow + CRS_ARR_TIME_MIN=VeryLow + O_LONGITUDE=VeryLow + CRS_ELAPSED_TIME=VeryLow + D_LATITUDE=VeryLow + O_TEMP=High + D_PRCP=VeryLow,"[8, 1298, 1243, 1288, 1248, 1293, 1256, 1273]",7596,8
DEST_INDEX=SJC + FL_DAY=17 + D_WSPD=VeryHigh + OP_CARRIER=WN + O_TEMP=High + O_LONGITUDE=Low + O_PRCP=VeryLow,"[1221, 917, 1282, 14, 1256, 1289, 1258]",7596,7
OP_CARRIER_FL_NUM=769.0 + ORIGIN_INDEX=SMF + DEST_INDEX=ATL + FL_DAY=22 + FL_WEEK=5 + O_LONGITUDE=VeryLow + D_TEMP=VeryLow + D_LONGITUDE=High + D_PRCP=VeryLow,"[162, 1079, 1099, 922, 936, 1288, 1268, 1301, 1273]",7596,9
OP_CARRIER=NK + FL_WEEK=7 + CRS_ELAPSED_TIME=VeryLow + D_LATITUDE=VeryLow + O_LATITUDE=VeryLow + O_TEMP=Mid + D_TEMP=Low,"[10, 938, 1248, 1293, 1283, 1255, 1269]",7596,7
D_LONGITUDE=VeryLow + CRS_ELAPSED_TIME=VeryLow + CRS_DEP_TIME_MIN=Low + O_PRCP=VeryLow + D_PRCP=VeryLow,"[1298, 1248, 1239, 1258, 1273]",7596,5
CRS_ELAPSED_TIME=VeryLow + CRS_DEP_TIME_MIN=Mid + O_TEMP=Mid + O_LONGITUDE=High + O_PRCP=VeryLow,"[1248, 1240, 1255, 1291, 1258]",7595,5
ORIGIN_INDEX=SEA + FL_DAY=24 + O_LATITUDE=VeryHigh + D_LONGITUDE=VeryLow + O_LONGITUDE=VeryLow + CRS_ELAPSED_TIME=VeryLow,"[1073, 924, 1287, 1298, 1288, 1248]",7595,6
DEST_INDEX=RIC + FL_DAY=22 + OP_CARRIER=YX + CRS_ELAPSED_TIME=VeryLow,"[1207, 922, 15, 1248]",7594,4
FL_WEEK=5 + D_TEMP=Mid + O_TEMP=Mid + CRS_ELAPSED_TIME=Low + O_PRCP=VeryLow,"[936, 1270, 1255, 1249, 1258]",7594,5
DEST_INDEX=RIC + OP_CARRIER=YX + CRS_ELAPSED_TIME=VeryLow + O_TEMP=High + O_PRCP=VeryLow,"[1207, 15, 1248, 1256, 1258]",7594,5
O_TEMP=VeryHigh + O_LONGITUDE=Low + D_WSPD=Mid,"[1257, 1289, 1280]",7594,3
D_LONGITUDE=VeryHigh + CRS_ELAPSED_TIME=VeryLow + O_LATITUDE=Mid + O_PRCP=VeryLow,"[1302, 1248, 1285, 1258]",7594,4
O_LATITUDE=Mid + O_LONGITUDE=Mid + D_LONGITUDE=High + O_PRCP=VeryLow + D_PRCP=VeryLow,"[1285, 1290, 1301, 1258, 1273]",7594,5
D_TEMP=Mid + CRS_DEP_TIME_MIN=Mid + D_LATITUDE=Low + D_LONGITUDE=Low + O_LONGITUDE=Low + O_PRCP=VeryLow + D_PRCP=VeryLow,"[1270, 1240, 1294, 1299, 1289, 1258, 1273]",7593,7
FL_DAY=26 + CRS_ELAPSED_TIME=VeryLow + D_LONGITUDE=Low + O_PRCP=VeryLow,"[926, 1248, 1299, 1258]",7593,4
O_TEMP=VeryHigh + O_LATITUDE=VeryLow + O_LONGITUDE=Mid + D_LONGITUDE=High + D_PRCP=VeryLow,"[1257, 1283, 1290, 1301, 1273]",7593,5
FL_WEEK=6 + O_WSPD=High + OP_CARRIER=WN + O_LONGITUDE=Low,"[937, 1266, 14, 1289]",7593,4
CRS_ARR_TIME_MIN=Low + O_WSPD=Low + O_LONGITUDE=Low + O_PRCP=VeryLow,"[1244, 1264, 1289, 1258]",7593,4
CRS_DEP_TIME_MIN=Mid + O_WSPD=Mid + O_LONGITUDE=Low + D_PRCP=VeryLow,"[1240, 1265, 1289, 1273]",7593,4
FL_DAY=22 + O_LONGITUDE=VeryLow + CRS_ELAPSED_TIME=VeryLow,"[922, 1288, 1248]",7592,3
OP_CARRIER_FL_NUM=1665.0 + FL_DAY=27 + D_LATITUDE=Mid + CRS_ARR_TIME_MIN=Low + CRS_DEP_TIME_MIN=VeryLow + O_LATITUDE=Mid + O_WSPD=Mid + O_LONGITUDE=Low,"[332, 927, 1295, 1244, 1238, 1285, 1265, 1289]",7592,8
FL_WEEK=7 + CRS_DEP_TIME_MIN=VeryLow,"[938, 1238]",7592,2
CRS_DEP_TIME_MIN=Low + D_LONGITUDE=Low + CRS_ELAPSED_TIME=Low + O_LONGITUDE=Low + D_PRCP=VeryLow,"[1239, 1299, 1249, 1289, 1273]",7592,5
OP_CARRIER_FL_NUM=769.0 + ORIGIN_INDEX=SMF + DEST_INDEX=ATL + FL_DAY=22 + O_LONGITUDE=VeryLow + O_WSPD=High + D_LATITUDE=Low + D_LONGITUDE=High + D_PRCP=VeryLow,"[162, 1079, 1099, 922, 1288, 1266, 1294, 1301, 1273]",7592,9
OP_CARRIER_FL_NUM=2798.0 + ORIGIN_INDEX=SFO + FL_DAY=22 + O_LONGITUDE=VeryLow + D_TEMP=VeryLow + D_LATITUDE=Low + CRS_DEP_TIME_MIN=Low + O_LATITUDE=Mid + D_LONGITUDE=Low,"[527, 1074, 922, 1288, 1268, 1294, 1239, 1285, 1299]",7592,9
DEST_INDEX=MSP + D_LONGITUDE=Mid + O_LONGITUDE=Low + O_PRCP=VeryLow,"[1186, 1300, 1289, 1258]",7592,4
O_TEMP=VeryHigh + CRS_DEP_TIME_MIN=Low + O_LONGITUDE=Low + O_PRCP=VeryLow,"[1257, 1239, 1289, 1258]",7592,4
CRS_ARR_TIME_MIN=VeryLow + CRS_DEP_TIME_MIN=VeryLow + O_TEMP=Mid + D_TEMP=Low + D_WSPD=Mid,"[1243, 1238, 1255, 1269, 1280]",7592,5
D_TEMP=Mid + CRS_DEP_TIME_MIN=Low + O_TEMP=High + O_PRCP=VeryLow + D_PRCP=VeryLow,"[1270, 1239, 1256, 1258, 1273]",7592,5
O_TEMP=VeryHigh + CRS_DEP_TIME_MIN=Mid + O_LATITUDE=Low + O_LONGITUDE=Low,"[1257, 1240, 1284, 1289]",7592,4
OP_CARRIER_FL_NUM=476.0 + ORIGIN_INDEX=SFO + OP_CARRIER=UA + O_LONGITUDE=VeryLow + D_TEMP=VeryLow + O_TEMP=Mid + O_LATITUDE=Mid + D_LONGITUDE=Mid,"[106, 1074, 13, 1288, 1268, 1255, 1285, 1300]",7592,8
O_LONGITUDE=VeryLow + CRS_ELAPSED_TIME=VeryLow + D_LATITUDE=VeryLow + O_LATITUDE=VeryLow + CRS_DEP_TIME_MIN=Low + O_PRCP=VeryLow,"[1288, 1248, 1293, 1283, 1239, 1258]",7591,6
D_LONGITUDE=Low + D_WSPD=Mid,"[1299, 1280]",7591,2
FL_DAY=18 + DEST_INDEX=MCO + OP_CARRIER=NK + FL_WEEK=7 + CRS_ELAPSED_TIME=VeryLow + D_LATITUDE=VeryLow + O_TEMP=Mid + D_TEMP=Low + D_LONGITUDE=High,"[918, 1177, 10, 938, 1248, 1293, 1255, 1269, 1301]",7591,9
CRS_DEP_TIME_MIN=VeryLow + OP_CARRIER=WN + O_LONGITUDE=Mid + D_PRCP=VeryLow,"[1238, 14, 1290, 1273]",7591,4
CRS_ARR_TIME_MIN=Low + O_LONGITUDE=High + D_LONGITUDE=High,"[1244, 1291, 1301]",7591,3
O_TEMP=Low + D_TEMP=VeryLow + O_LONGITUDE=High + O_PRCP=VeryLow + D_PRCP=VeryLow,"[1254, 1268, 1291, 1258, 1273]",7591,5
O_WSPD=VeryLow + O_LONGITUDE=VeryLow + CRS_ELAPSED_TIME=Low,"[1263, 1288, 1249]",7591,3
DEST_INDEX=ATL + O_WSPD=High + D_LATITUDE=Low + O_LONGITUDE=High + D_LONGITUDE=High + CRS_ELAPSED_TIME=Low + O_PRCP=VeryLow + D_PRCP=VeryLow,"[1099, 1266, 1294, 1291, 1301, 1249, 1258, 1273]",7591,8
OP_CARRIER=OO + D_TEMP=Mid + CRS_DEP_TIME_MIN=Mid + D_LATITUDE=Low + O_LONGITUDE=Low + O_PRCP=VeryLow,"[12, 1270, 1240, 1294, 1289, 1258]",7590,6
OP_CARRIER_FL_NUM=28.0 + O_LATITUDE=VeryHigh + FL_WEEK=4 + D_WSPD=High + CRS_ARR_TIME_MIN=VeryLow + O_LONGITUDE=VeryLow,"[20, 1287, 935, 1281, 1243, 1288]",7589,6
OP_CARRIER=OO + CRS_ARR_TIME_MIN=Low + CRS_DEP_TIME_MIN=VeryLow + O_LONGITUDE=Low + O_PRCP=VeryLow + D_PRCP=VeryLow,"[12, 1244, 1238, 1289, 1258, 1273]",7589,6
D_TEMP=Low + OP_CARRIER=WN + D_LONGITUDE=Low + O_LONGITUDE=Low + O_PRCP=VeryLow + D_PRCP=VeryLow,"[1269, 14, 1299, 1289, 1258, 1273]",7589,6
D_TEMP=High + O_LONGITUDE=VeryLow + CRS_ELAPSED_TIME=VeryLow + O_PRCP=VeryLow,"[1271, 1288, 1248, 1258]",7589,4
OP_CARRIER_FL_NUM=769.0 + ORIGIN_INDEX=SMF + DEST_INDEX=ATL + FL_DAY=22 + O_LONGITUDE=VeryLow + O_WSPD=High + D_TEMP=VeryLow + D_LONGITUDE=High + D_PRCP=VeryLow,"[162, 1079, 1099, 922, 1288, 1266, 1268, 1301, 1273]",7588,9
OP_CARRIER=YX + CRS_ARR_TIME_MIN=Low + O_TEMP=Mid + O_PRCP=VeryLow,"[15, 1244, 1255, 1258]",7588,4
D_WSPD=High + O_WSPD=Low + O_LONGITUDE=Mid + O_PRCP=VeryLow + D_PRCP=VeryLow,"[1281, 1264, 1290, 1258, 1273]",7588,5
OP_CARRIER=HA + D_LONGITUDE=VeryLow + CRS_ARR_TIME_MIN=VeryLow + O_LONGITUDE=VeryLow + CRS_ELAPSED_TIME=VeryLow + D_LATITUDE=VeryLow + O_LATITUDE=VeryLow + O_PRCP=VeryLow,"[8, 1298, 1243, 1288, 1248, 1293, 1283, 1258]",7588,8
D_LONGITUDE=VeryLow + O_LONGITUDE=VeryLow + O_LATITUDE=VeryLow + CRS_DEP_TIME_MIN=Low + O_TEMP=High,"[1298, 1288, 1283, 1239, 1256]",7588,5
DEST_INDEX=ROA + CRS_DEP_TIME_MIN=High + FL_DAY=28 + OP_CARRIER=YX + D_LONGITUDE=VeryHigh + O_WSPD=Low + CRS_ELAPSED_TIME=Low + O_TEMP=High + D_WSPD=Mid + O_PRCP=VeryLow,"[1209, 1241, 928, 15, 1302, 1264, 1249, 1256, 1280, 1258]",7588,10
OP_CARRIER_FL_NUM=769.0 + ORIGIN_INDEX=SMF + DEST_INDEX=ATL + FL_DAY=22 + O_LONGITUDE=VeryLow + D_LATITUDE=Low + D_LONGITUDE=High + D_PRCP=VeryLow,"[162, 1079, 1099, 922, 1288, 1294, 1301, 1273]",7588,8
DEST_INDEX=TPA + D_LATITUDE=VeryLow + OP_CARRIER=WN,"[1230, 1293, 14]",7588,3
DEST_INDEX=ROA + CRS_DEP_TIME_MIN=High + FL_DAY=28 + OP_CARRIER=YX + D_LONGITUDE=VeryHigh + FL_WEEK=5 + O_WSPD=Low + CRS_ELAPSED_TIME=Low + O_TEMP=High + O_PRCP=VeryLow,"[1209, 1241, 928, 15, 1302, 936, 1264, 1249, 1256, 1258]",7588,10
D_TEMP=Low + O_LONGITUDE=Mid + D_WSPD=Mid + D_PRCP=VeryLow,"[1269, 1290, 1280, 1273]",7588,4
CRS_ELAPSED_TIME=VeryLow + O_LATITUDE=VeryLow + OP_CARRIER=WN + O_LONGITUDE=Low + O_PRCP=VeryLow + D_PRCP=VeryLow,"[1248, 1283, 14, 1289, 1258, 1273]",7588,6
OP_CARRIER=OO + O_TEMP=VeryHigh + O_WSPD=Low + D_LONGITUDE=High + O_PRCP=VeryLow,"[12, 1257, 1264, 1301, 1258]",7587,5
ORIGIN_INDEX=SEA + OP_CARRIER=OO + O_LONGITUDE=VeryLow + CRS_ELAPSED_TIME=VeryLow + O_TEMP=Low + O_PRCP=VeryLow + D_PRCP=VeryLow,"[1073, 12, 1288, 1248, 1254, 1258, 1273]",7587,7
OP_CARRIER_FL_NUM=1359.0 + CRS_ARR_TIME_MIN=High + DEST_INDEX=MCO + ORIGIN_INDEX=BOS + OP_CARRIER=NK + FL_DAY=29 + D_LATITUDE=VeryLow + CRS_DEP_TIME_MIN=Mid + D_LONGITUDE=High + O_TEMP=High + O_PRCP=VeryLow,"[270, 1246, 1177, 958, 10, 929, 1293, 1240, 1301, 1256, 1258]",7587,11
ORIGIN_INDEX=ATL + CRS_ELAPSED_TIME=VeryLow + O_WSPD=Mid + D_PRCP=VeryLow,"[948, 1248, 1265, 1273]",7587,4
FL_DAY=18 + DEST_INDEX=MCO + OP_CARRIER=NK + FL_WEEK=7 + CRS_ELAPSED_TIME=VeryLow + D_LATITUDE=VeryLow + O_LATITUDE=VeryLow + D_TEMP=Low + O_WSPD=Mid,"[918, 1177, 10, 938, 1248, 1293, 1283, 1269, 1265]",7587,9
CRS_ELAPSED_TIME=Mid + O_LATITUDE=Mid + O_LONGITUDE=High + O_PRCP=VeryLow + D_PRCP=VeryLow,"[1250, 1285, 1291, 1258, 1273]",7587,5
D_LONGITUDE=VeryLow + D_TEMP=Mid + CRS_ELAPSED_TIME=Low + O_PRCP=VeryLow,"[1298, 1270, 1249, 1258]",7587,4
FL_WEEK=7 + CRS_ARR_TIME_MIN=Low,"[938, 1244]",7587,2
CRS_ARR_TIME_MIN=VeryLow + CRS_DEP_TIME_MIN=VeryLow + O_LONGITUDE=Mid + D_WSPD=Mid + O_PRCP=VeryLow + D_PRCP=VeryLow,"[1243, 1238, 1290, 1280, 1258, 1273]",7586,6
ORIGIN_INDEX=TPA + O_LATITUDE=VeryLow + D_TEMP=VeryLow + O_LONGITUDE=High + O_PRCP=VeryLow,"[1084, 1283, 1268, 1291, 1258]",7586,5
D_LATITUDE=VeryLow + O_LATITUDE=Low + O_WSPD=Low + O_TEMP=High + O_LONGITUDE=Low + O_PRCP=VeryLow + D_PRCP=VeryLow,"[1293, 1284, 1264, 1256, 1289, 1258, 1273]",7586,7
DEST_INDEX=DFW + OP_CARRIER_FL_NUM=1109.0 + ORIGIN_INDEX=ORD + FL_DAY=15 + CRS_ARR_TIME_MIN=Mid + D_TEMP=Mid + D_LATITUDE=Low + CRS_DEP_TIME_MIN=Low + O_LONGITUDE=Mid + D_LONGITUDE=Low + D_PRCP=VeryLow,"[1128, 223, 1044, 915, 1245, 1270, 1294, 1239, 1290, 1299, 1273]",7586,11
FL_WEEK=7 + CRS_ARR_TIME_MIN=Low + CRS_DEP_TIME_MIN=Low + O_PRCP=VeryLow + D_PRCP=VeryLow,"[938, 1244, 1239, 1258, 1273]",7586,5
OP_CARRIER=MQ + O_LONGITUDE=Mid + O_TEMP=High,"[9, 1290, 1256]",7586,3
D_LATITUDE=VeryLow + O_WSPD=Low + O_LONGITUDE=Low + O_PRCP=VeryLow,"[1293, 1264, 1289, 1258]",7585,4
O_LATITUDE=VeryHigh + D_LATITUDE=VeryHigh + O_LONGITUDE=VeryLow + CRS_DEP_TIME_MIN=VeryLow + O_PRCP=VeryLow,"[1287, 1297, 1288, 1238, 1258]",7585,5
OP_CARRIER=OO + D_LONGITUDE=VeryLow + CRS_ELAPSED_TIME=VeryLow + D_TEMP=Low + O_PRCP=VeryLow + D_PRCP=VeryLow,"[12, 1298, 1248, 1269, 1258, 1273]",7585,6
O_WSPD=VeryLow + O_LONGITUDE=VeryLow + O_LATITUDE=Low,"[1263, 1288, 1284]",7585,3
O_LATITUDE=VeryLow + D_LATITUDE=Low + CRS_ELAPSED_TIME=Low + O_PRCP=VeryLow + D_PRCP=VeryLow,"[1283, 1294, 1249, 1258, 1273]",7585,5
OP_CARRIER=OH + D_TEMP=VeryLow + CRS_DEP_TIME_MIN=Low + O_LONGITUDE=High + O_PRCP=VeryLow,"[11, 1268, 1239, 1291, 1258]",7585,5
FL_DAY=28 + CRS_DEP_TIME_MIN=Low + O_PRCP=VeryLow,"[928, 1239, 1258]",7585,3
O_LONGITUDE=VeryLow + CRS_ARR_TIME_MIN=Low + CRS_DEP_TIME_MIN=VeryLow + O_TEMP=Mid + O_PRCP=VeryLow + D_PRCP=VeryLow,"[1288, 1244, 1238, 1255, 1258, 1273]",7584,6
CRS_DEP_TIME_MIN=Low + O_WSPD=Low + D_LONGITUDE=Mid + O_PRCP=VeryLow + D_PRCP=VeryLow,"[1239, 1264, 1300, 1258, 1273]",7584,5
OP_CARRIER_FL_NUM=769.0 + ORIGIN_INDEX=SMF + DEST_INDEX=ATL + FL_DAY=22 + O_LONGITUDE=VeryLow + D_TEMP=VeryLow + D_LONGITUDE=High + D_PRCP=VeryLow,"[162, 1079, 1099, 922, 1288, 1268, 1301, 1273]",7584,8
OP_CARRIER_FL_NUM=2024.0 + DEST_INDEX=LGA + FL_DAY=29 + O_TEMP=VeryHigh + O_LATITUDE=VeryLow + O_LONGITUDE=Mid + O_WSPD=Mid,"[391, 1170, 929, 1257, 1283, 1290, 1265]",7584,7
D_TEMP=Mid + CRS_ELAPSED_TIME=VeryLow + O_LATITUDE=Mid,"[1270, 1248, 1285]",7584,3
FL_DAY=26 + OP_CARRIER=WN + D_LONGITUDE=High + D_WSPD=Mid + O_PRCP=VeryLow + D_PRCP=VeryLow,"[926, 14, 1301, 1280, 1258, 1273]",7583,6
D_LATITUDE=VeryLow + O_TEMP=Low + D_LONGITUDE=High + O_PRCP=VeryLow,"[1293, 1254, 1301, 1258]",7583,4
OP_CARRIER=OO + O_LONGITUDE=VeryLow + O_TEMP=High + D_PRCP=VeryLow,"[12, 1288, 1256, 1273]",7583,4
ORIGIN_INDEX=ATL + O_WSPD=Low + O_LONGITUDE=High + O_PRCP=VeryLow + D_PRCP=VeryLow,"[948, 1264, 1291, 1258, 1273]",7582,5
CRS_DEP_TIME_MIN=VeryLow + O_WSPD=Low + D_LONGITUDE=Mid + O_TEMP=High + O_PRCP=VeryLow,"[1238, 1264, 1300, 1256, 1258]",7582,5
FL_WEEK=6 + CRS_DEP_TIME_MIN=VeryLow + O_LONGITUDE=Low + O_PRCP=VeryLow + D_PRCP=VeryLow,"[937, 1238, 1289, 1258, 1273]",7582,5
CRS_ELAPSED_TIME=VeryLow + CRS_ARR_TIME_MIN=Low + D_LONGITUDE=Low + D_PRCP=VeryLow,"[1248, 1244, 1299, 1273]",7582,4
OP_CARRIER=WN + O_WSPD=Low + D_LONGITUDE=Mid + O_TEMP=High + O_PRCP=VeryLow + D_PRCP=VeryLow,"[14, 1264, 1300, 1256, 1258, 1273]",7582,6
CRS_ELAPSED_TIME=VeryLow + O_WSPD=Low + D_LONGITUDE=High,"[1248, 1264, 1301]",7582,3
CRS_ELAPSED_TIME=Mid + OP_CARRIER=UA,"[1250, 13]",7582,2
D_LATITUDE=Mid + CRS_ELAPSED_TIME=VeryLow + O_WSPD=Mid + O_PRCP=VeryLow + D_PRCP=VeryLow,"[1295, 1248, 1265, 1258, 1273]",7582,5
CRS_ELAPSED_TIME=VeryLow + D_LATITUDE=Low + O_LATITUDE=Low + D_TEMP=Low + O_LONGITUDE=High + O_PRCP=VeryLow,"[1248, 1294, 1284, 1269, 1291, 1258]",7581,6
CRS_DEP_TIME_MIN=Low + OP_CARRIER=WN + D_LONGITUDE=High + D_PRCP=VeryLow,"[1239, 14, 1301, 1273]",7581,4
DEST_INDEX=RIC + OP_CARRIER=YX + D_TEMP=Mid + CRS_ELAPSED_TIME=VeryLow + O_WSPD=Mid + O_TEMP=High,"[1207, 15, 1270, 1248, 1265, 1256]",7581,6
DEST_INDEX=RIC + FL_DAY=22 + D_LONGITUDE=VeryHigh + CRS_ELAPSED_TIME=VeryLow + O_WSPD=Mid + O_TEMP=High + D_PRCP=VeryLow,"[1207, 922, 1302, 1248, 1265, 1256, 1273]",7581,7
CRS_ARR_TIME_MIN=Low + D_TEMP=VeryLow + CRS_DEP_TIME_MIN=Low + O_LATITUDE=Low,"[1244, 1268, 1239, 1284]",7581,4
D_TEMP=Mid + CRS_ELAPSED_TIME=VeryLow + CRS_DEP_TIME_MIN=Mid + O_PRCP=VeryLow + D_PRCP=VeryLow,"[1270, 1248, 1240, 1258, 1273]",7580,5
DEST_INDEX=ROA + CRS_DEP_TIME_MIN=High + FL_DAY=28 + OP_CARRIER=YX + D_LONGITUDE=VeryHigh + O_WSPD=Low + CRS_ELAPSED_TIME=Low + O_TEMP=High + O_PRCP=VeryLow,"[1209, 1241, 928, 15, 1302, 1264, 1249, 1256, 1258]",7580,9
DEST_INDEX=MCO + FL_WEEK=7 + CRS_ELAPSED_TIME=VeryLow + O_LATITUDE=VeryLow + O_TEMP=Mid + O_WSPD=Mid,"[1177, 938, 1248, 1283, 1255, 1265]",7580,6
D_LATITUDE=VeryHigh + O_WSPD=High + CRS_ELAPSED_TIME=VeryLow + O_PRCP=VeryLow + D_PRCP=VeryLow,"[1297, 1266, 1248, 1258, 1273]",7580,5
FL_WEEK=7 + CRS_ELAPSED_TIME=VeryLow + D_LATITUDE=VeryLow + O_LATITUDE=VeryLow + O_TEMP=Mid + O_WSPD=Mid,"[938, 1248, 1293, 1283, 1255, 1265]",7580,6
D_LATITUDE=Mid + CRS_ELAPSED_TIME=VeryLow + D_LONGITUDE=Low + O_PRCP=VeryLow,"[1295, 1248, 1299, 1258]",7580,4
O_LATITUDE=VeryLow + O_LONGITUDE=High + D_LONGITUDE=High + O_PRCP=VeryLow + D_PRCP=VeryLow,"[1283, 1291, 1301, 1258, 1273]",7580,5
FL_WEEK=7 + D_TEMP=VeryLow + O_LONGITUDE=Low + O_PRCP=VeryLow,"[938, 1268, 1289, 1258]",7580,4
ORIGIN_INDEX=SFO + CRS_ARR_TIME_MIN=Mid + O_LONGITUDE=VeryLow + O_TEMP=Low + D_TEMP=VeryLow + D_LATITUDE=Low + CRS_DEP_TIME_MIN=Low + O_LATITUDE=Mid + D_LONGITUDE=Low,"[1074, 1245, 1288, 1254, 1268, 1294, 1239, 1285, 1299]",7579,9
ORIGIN_INDEX=SEA + D_LONGITUDE=VeryLow + O_LONGITUDE=VeryLow + D_TEMP=Low,"[1073, 1298, 1288, 1269]",7579,4
FL_DAY=22 + O_LONGITUDE=High + O_PRCP=VeryLow,"[922, 1291, 1258]",7578,3
OP_CARRIER=OO + D_LONGITUDE=VeryLow + O_LONGITUDE=VeryLow + O_TEMP=Mid,"[12, 1298, 1288, 1255]",7578,4
D_LATITUDE=Mid + OP_CARRIER=WN + O_TEMP=High + O_PRCP=VeryLow + D_PRCP=VeryLow,"[1295, 14, 1256, 1258, 1273]",7578,5
O_WSPD=VeryLow + O_LATITUDE=Low + O_LONGITUDE=Low + O_PRCP=VeryLow,"[1263, 1284, 1289, 1258]",7578,4
CRS_ELAPSED_TIME=VeryLow + D_TEMP=Low + O_LONGITUDE=Low + O_PRCP=VeryLow,"[1248, 1269, 1289, 1258]",7578,4
D_WSPD=VeryLow + O_WSPD=High + O_LONGITUDE=Low + D_PRCP=VeryLow,"[1278, 1266, 1289, 1273]",7578,4
OP_CARRIER_FL_NUM=28.0 + O_LATITUDE=VeryHigh + D_WSPD=High + CRS_ARR_TIME_MIN=VeryLow + O_LONGITUDE=VeryLow,"[20, 1287, 1281, 1243, 1288]",7577,5
D_LONGITUDE=VeryLow + O_TEMP=Mid + O_LATITUDE=Low + O_PRCP=VeryLow,"[1298, 1255, 1284, 1258]",7577,4
CRS_ELAPSED_TIME=VeryLow + D_LATITUDE=VeryLow + O_LATITUDE=VeryLow + O_TEMP=High + O_PRCP=VeryLow + D_PRCP=VeryLow,"[1248, 1293, 1283, 1256, 1258, 1273]",7577,6
DEST_INDEX=RIC + FL_DAY=22 + D_LONGITUDE=VeryHigh + CRS_ELAPSED_TIME=VeryLow + O_TEMP=High + O_PRCP=VeryLow,"[1207, 922, 1302, 1248, 1256, 1258]",7577,6
D_TEMP=Mid + O_TEMP=Low + CRS_DEP_TIME_MIN=VeryLow + O_PRCP=VeryLow + D_PRCP=VeryLow,"[1270, 1254, 1238, 1258, 1273]",7577,5
CRS_ARR_TIME_MIN=Mid + O_LATITUDE=VeryLow + D_PRCP=VeryLow,"[1245, 1283, 1273]",7576,3
CRS_DEP_TIME_MIN=VeryLow + D_LONGITUDE=High + O_WSPD=Mid + D_PRCP=VeryLow,"[1238, 1301, 1265, 1273]",7576,4
DEST_INDEX=MCO + CRS_ELAPSED_TIME=VeryLow + D_LATITUDE=VeryLow + O_LATITUDE=VeryLow + O_TEMP=Mid,"[1177, 1248, 1293, 1283, 1255]",7576,5
O_LONGITUDE=VeryLow + D_TEMP=VeryLow + CRS_DEP_TIME_MIN=Low + O_PRCP=VeryLow + D_PRCP=VeryLow,"[1288, 1268, 1239, 1258, 1273]",7576,5
O_LATITUDE=VeryHigh + D_LATITUDE=Low + O_LONGITUDE=Low + D_PRCP=VeryLow,"[1287, 1294, 1289, 1273]",7576,4
FL_DAY=18 + DEST_INDEX=MCO + FL_WEEK=7 + CRS_ELAPSED_TIME=VeryLow + D_LATITUDE=VeryLow + O_TEMP=Mid + D_LONGITUDE=High + O_WSPD=Mid,"[918, 1177, 938, 1248, 1293, 1255, 1301, 1265]",7575,8
O_TEMP=VeryHigh + CRS_ELAPSED_TIME=VeryLow + D_LONGITUDE=Mid + O_LONGITUDE=High + D_PRCP=VeryLow,"[1257, 1248, 1300, 1291, 1273]",7575,5
D_LONGITUDE=VeryLow + O_WSPD=Low + O_LONGITUDE=Low + O_PRCP=VeryLow + D_PRCP=VeryLow,"[1298, 1264, 1289, 1258, 1273]",7575,5
ORIGIN_INDEX=PHX + CRS_ARR_TIME_MIN=Low + O_LATITUDE=Low + O_LONGITUDE=Low,"[1049, 1244, 1284, 1289]",7575,4
FL_DAY=30 + CRS_DEP_TIME_MIN=VeryLow + D_PRCP=VeryLow,"[930, 1238, 1273]",7575,3
D_WSPD=High + CRS_DEP_TIME_MIN=Low + O_PRCP=VeryLow,"[1281, 1239, 1258]",7575,3
CRS_ARR_TIME_MIN=Mid + CRS_DEP_TIME_MIN=Mid + O_LATITUDE=VeryLow + O_PRCP=VeryLow + D_PRCP=VeryLow,"[1245, 1240, 1283, 1258, 1273]",7574,5
O_LATITUDE=VeryLow + O_WSPD=Low + O_LONGITUDE=Low + O_PRCP=VeryLow + D_PRCP=VeryLow,"[1283, 1264, 1289, 1258, 1273]",7574,5
O_TEMP=VeryHigh + OP_CARRIER=WN + O_LONGITUDE=High + O_PRCP=VeryLow,"[1257, 14, 1291, 1258]",7574,4
